127.0.0.1 - - [12/Oct/2015:08:58:20 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Oct/2015:09:00:11 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [12/Oct/2015:09:00:17 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [12/Oct/2015:09:00:30 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [12/Oct/2015:09:13:37 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [12/Oct/2015:09:15:19 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [12/Oct/2015:09:16:59 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [12/Oct/2015:13:39:21 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [12/Oct/2015:13:39:23 -0700] "GET /yadaserver/api/simpleyada/5615a15b0ebab7f22d07d682 HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [12/Oct/2015:13:39:25 -0700] "OPTIONS /yadaserver/api/simpleyada HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Oct/2015:13:39:25 -0700] "POST /yadaserver/api/simpleyada HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [12/Oct/2015:13:39:25 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [12/Oct/2015:13:39:33 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [12/Oct/2015:13:39:54 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [12/Oct/2015:14:29:04 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [12/Oct/2015:14:29:08 -0700] "GET /yadaserver/api/simpleyada/5615a16d0ebab7f22d07d683 HTTP/1.1" 200 268
